"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0R340","2020-04-10 00:00:00","230.000","28.000","1.200","19.400","0.770","991.800","","0.000","-99.000","-99.000","-99.000","27.100","","16.800",""
"C0M750","2020-04-10 00:00:00","10.000","35.000","1.300","20.000","0.800","1016.500","","0.000","-99.000","-99.000","-99.000","25.500","","18.700",""
"C0I110","2020-04-10 00:00:00","161.000","136.000","0.600","19.500","0.870","1000.000","","0.000","-99.000","-99.000","-99.000","27.200","","18.800",""
"C0V370","2020-04-10 00:00:00","74.000","-99.000","-99.000","-99.000","-99.000","-99.000","","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0C690","2020-04-10 00:00:00","242.000","166.000","2.500","17.400","0.700","990.500","","0.500","8.400","166.000","","21.600","","16.100",""
"C0A540","2020-04-10 00:00:00","401.000","-99.000","-99.000","-99.000","-99.000","-99.000","","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0SA60","2020-04-10 00:00:00","6.000","346.000","1.400","20.200","0.750","1018.800","","0.000","-99.000","-99.000","-99.000","26.800","","19.200",""
"C0H950","2020-04-10 00:00:00","192.000","-99.000","-99.000","-99.000","-99.000","-99.000","","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0O960","2020-04-10 00:00:00","112.000","22.000","0.600","18.800","0.900","1004.300","","0.000","-99.000","-99.000","-99.000","28.100","","17.500",""
"C0E880","2020-04-10 00:00:00","507.000","155.000","1.600","20.300","0.690","960.000","","0.000","-99.000","-99.000","-99.000","22.200","","14.700",""
"C0AH10","2020-04-10 00:00:00","30.000","85.000","3.400","20.500","0.750","1016.100","","0.500","-99.000","-99.000","-99.000","23.300","","18.400",""
